"latitude","longitude","tested","positive"
-14.2436872987609,39.8199620839751,37.579476,15.373422
-24.9307127495358,31.8184569993362,6.11135,0
-10.9983034679765,35.4219462804538,5.586399,2.926209
-15.9511756597631,33.4827450081876,20.543568,11.555757
-25.5167924438637,33.1136290365724,13.56277,0
-14.2497085528457,33.2033353244148,22.180546,13.04738
-18.6361875363805,32.9161519718965,9.558432,0.531024
-15.1077078239894,34.9565121475775,37.880016,7.102503
-16.8140082499973,37.3275437919297,27.250932,19.235952
-25.8550195293046,31.9691339809875,4.012183,0
-26.6485756229823,33.4175955508506,4.521104,0
-25.6884200742021,31.9966250712974,3.36237,0
-12.4453005763324,34.2786685324816,3.083787,0
-25.9526636666098,33.0615865740722,2.625735,0
-25.2992470906825,33.4770655043543,14.371562,7.608474
-25.4717399513623,32.8475019192507,10.222076,0.538004
-19.6640565905454,35.0809915170678,24.829608,12.414804
-24.3150514821167,36.1305387827728,12.234339,6.587721
-13.9176895690566,38.6641461305632,15.811902,8.78439
-25.7828467932281,33.3662497150323,14.778036,6.157515
-14.4179227051649,38.5085440825586,8.90396,5.342376
-14.3076911982445,39.0575648484144,26.285112,2.920568
-14.2880432056148,38.9736119091079,58.65629,55.20592
-15.6022204119717,33.1953827315325,16.39672,1.639672
-26.6089732124988,32.0843084845001,2.766953,0
-18.8635464817456,35.5745854301421,4.85088,1.21272
-26.1439086851023,33.1316719792988,5.792544,0
-15.8082745232448,35.3744379028143,17.796262,3.235684
-18.7594878869364,34.9859433722402,5.993592,0.499466
-18.2071378895369,33.7595015376154,7.885839,0
-17.4851183872202,38.0726297645019,11.009845,11.009845
-19.3546442133847,33.8564272537284,23.67947,20.89365
-18.122913832682,36.6344177466406,10.10373,3.88605
-23.7380621125843,32.7209869368909,9.904387,1.747833
-17.8959111875632,37.7150425705928,0.901086,0
-17.616136573903,37.3605470464323,10.056033,2.234674
-15.6015456365976,39.4292439536039,35.953016,26.147648
-26.2338078899715,31.6532054199713,13.929171,0
-18.4601011695977,32.1922052124566,12.065424,2.585448
-19.2408391418249,34.0327456358343,20.977616,0.953528
-13.9819052368596,38.8157800722408,21.621756,1.663212
-23.4234736622385,35.3122976174496,4.241342,0
-22.6983102797752,34.7671412345157,6.27003,0
-15.5587589977654,40.568629858837,28.62358,5.724716
-14.0339617454764,40.5425451380329,4.502512,1.929648
-23.7394934959522,33.8301061678992,4.327848,0.540981
-25.5915558825555,32.8694167661397,4.07576,0
-19.731706463636,32.1376906467834,17.54124,12.278868
-14.970983477238,40.8432752064274,26.15275,18.10575
-20.1565939532278,35.2822967153068,3.015873,0
-25.2679308416488,33.5569945087898,11.32119,1.509492
-25.2381494712334,33.189397646241,12.754455,5.952079
-25.8981660746152,33.3334057450435,8.493745,0
-18.308889781325,37.817457180426,12.37453,4.419475
-16.2730991213973,34.4868741096702,1.755664,0.219458
-15.2194408832611,37.8561216931106,10.731636,10.731636
-14.4381874053988,36.8552991252188,3.970302,0.567186
-14.1807374257751,33.6590017096275,12.230816,5.644992
-25.1987679349625,32.7449249469838,2.503956,0
-19.1088934869452,32.8221035127279,16.55848,7.244335
